domain,status,premium,reg_price,renew_price
bloke.space,UNAVAILABLE,0,1.96,26.26
bloke.pics,AVAILABLE,0,1.54,26.26
bloke.quest,AVAILABLE,0,1.54,12.98
bloke.mom,AVAILABLE,0,1.54,26.26
bloke.beauty,UNAVAILABLE,0,1.54,12.98
bloke.beer,AVAILABLE,0,1.54,26.26
bloke.best,AVAILABLE,0,1.72,15.96
bloke.click,AVAILABLE,1,76.94,109.69
bloke.garden,AVAILABLE,0,1.54,26.26
bloke.hair,AVAILABLE,0,1.54,12.98
bloke.monster,AVAILABLE,0,1.54,12.98
bloke.rest,AVAILABLE,0,1.54,26.26
bloke.skin,AVAILABLE,0,1.54,12.98
bloke.surf,AVAILABLE,0,1.54,26.26
bloop.lol,PENDING,0,0.00,0.00
bloop.space,PENDING,0,0.00,0.00
bloop.pics,PENDING,0,0.00,0.00
bloop.quest,AVAILABLE,0,1.54,12.98
bloop.mom,PENDING,0,0.00,0.00
bloop.beauty,AVAILABLE,0,1.54,12.98
bloop.beer,AVAILABLE,0,1.54,26.26
bloop.best,UNAVAILABLE,0,1.72,15.96
bloop.click,PENDING,0,0.00,0.00
bloop.garden,AVAILABLE,0,1.54,26.26
bloop.hair,AVAILABLE,0,1.54,12.98
bloop.monster,UNAVAILABLE,0,1.54,12.98
bloop.rest,PENDING,0,0.00,0.00
bloop.skin,AVAILABLE,0,1.54,12.98
bloop.surf,AVAILABLE,0,1.54,26.26
blurt.lol,UNAVAILABLE,0,1.54,26.26
blurt.space,AVAILABLE,1,68.75,273.44
blurt.pics,AVAILABLE,0,1.54,26.26
blurt.quest,AVAILABLE,0,1.54,12.98
blurt.mom,AVAILABLE,0,1.54,26.26
blurt.beauty,AVAILABLE,0,1.54,12.98
blurt.beer,AVAILABLE,0,1.54,26.26
blurt.best,AVAILABLE,0,1.72,15.96
blurt.click,AVAILABLE,1,76.94,109.69
blurt.garden,AVAILABLE,0,1.54,26.26
blurt.hair,AVAILABLE,0,1.54,12.98
blurt.monster,AVAILABLE,0,1.54,12.98
blurt.rest,AVAILABLE,0,1.54,26.26
blurt.skin,AVAILABLE,0,1.54,12.98
blurt.surf,AVAILABLE,0,1.54,26.26
bobble.lol,AVAILABLE,0,1.54,26.26
bobble.space,PENDING,0,0.00,0.00
bobble.pics,AVAILABLE,0,1.54,26.26
bobble.quest,AVAILABLE,0,1.54,12.98
bobble.mom,AVAILABLE,0,1.54,26.26
bobble.beauty,AVAILABLE,0,1.54,12.98
bobble.beer,UNAVAILABLE,0,1.54,26.26
bobble.best,AVAILABLE,0,1.72,15.96
bobble.click,UNAVAILABLE,0,1.54,10.81
bobble.garden,AVAILABLE,0,1.54,26.26
bobble.hair,AVAILABLE,0,1.54,12.98
bobble.monster,AVAILABLE,0,1.54,12.98
bobble.rest,AVAILABLE,0,1.54,26.26
bobble.skin,AVAILABLE,0,1.54,12.98
bobble.surf,AVAILABLE,0,1.54,26.26
bocce.lol,AVAILABLE,0,1.54,26.26
bocce.space,AVAILABLE,1,68.75,273.44
bocce.pics,AVAILABLE,0,1.54,26.26
bocce.quest,AVAILABLE,0,1.54,12.98
bocce.mom,AVAILABLE,0,1.54,26.26
bocce.beauty,AVAILABLE,0,1.54,12.98
bocce.beer,AVAILABLE,0,1.54,26.26
bocce.best,AVAILABLE,0,1.72,15.96
bocce.click,AVAILABLE,1,76.94,109.69
bocce.garden,UNAVAILABLE,0,1.54,26.26
bocce.hair,AVAILABLE,0,1.54,12.98
bocce.monster,AVAILABLE,0,1.54,12.98
bocce.rest,AVAILABLE,0,1.54,26.26
bocce.skin,AVAILABLE,0,1.54,12.98
bocce.surf,AVAILABLE,0,1.54,26.26
bock.lol,AVAILABLE,0,1.54,26.26
bock.space,UNAVAILABLE,0,1.96,26.26
bock.pics,AVAILABLE,0,1.54,26.26
bock.quest,AVAILABLE,0,1.54,12.98
bock.mom,AVAILABLE,0,1.54,26.26
bock.beauty,AVAILABLE,0,1.54,12.98
bock.beer,UNAVAILABLE,1,218.86,27.82
bock.best,AVAILABLE,0,1.72,15.96
bock.click,UNAVAILABLE,0,1.54,10.81
bock.garden,AVAILABLE,0,1.54,26.26
bock.hair,AVAILABLE,0,1.54,12.98
bock.monster,AVAILABLE,0,1.54,12.98
bock.rest,AVAILABLE,0,1.54,26.26
bock.skin,AVAILABLE,0,1.54,12.98
bock.surf,AVAILABLE,0,1.54,26.26
boff.lol,UNAVAILABLE,0,1.54,26.26
boff.space,AVAILABLE,1,136.98,546.35
boff.pics,AVAILABLE,0,1.54,26.26
boff.quest,AVAILABLE,0,1.54,12.98
boff.mom,AVAILABLE,0,1.54,26.26
boff.beauty,AVAILABLE,0,1.54,12.98
boff.beer,AVAILABLE,0,1.54,26.26
boff.best,AVAILABLE,0,1.72,15.96
boff.click,AVAILABLE,1,76.94,109.69
boff.garden,AVAILABLE,0,1.54,26.26
