domain,status,premium,reg_price,renew_price
flex.monster,AVAILABLE,1,218.86,13.74
flex.rest,UNAVAILABLE,0,1.54,26.26
flex.skin,AVAILABLE,1,710.10,710.10
flex.surf,AVAILABLE,1,44.19,27.82
  💰 PREMIUM: bare.lol reg=$2183.84
  💰 PREMIUM: bare.space reg=$682.81
  💰 PREMIUM: bare.pics reg=$2183.84
  💰 PREMIUM: bare.quest reg=$2183.84
  💰 PREMIUM: bare.mom reg=$2183.84
  💰 PREMIUM: bare.beauty reg=$2183.84
  💰 PREMIUM: bare.click reg=$76.94
  💰 PREMIUM: bare.garden reg=$873.85
  💰 PREMIUM: bare.hair reg=$2183.84
  ✓ CHEAP: bare.monster reg=$1.54 renew=$12.98
  ✓ CHEAP: bare.rest reg=$1.54 renew=$26.26
  💰 PREMIUM: bare.skin reg=$2183.84
bare.lol,AVAILABLE,1,2183.84,2183.84
bare.space,AVAILABLE,1,682.81,2729.67
bare.pics,AVAILABLE,1,2183.84,2183.84
bare.quest,AVAILABLE,1,2183.84,2183.84
bare.mom,AVAILABLE,1,2183.84,2183.84
bare.beauty,AVAILABLE,1,2183.84,2183.84
bare.beer,UNAVAILABLE,0,1.54,26.26
bare.best,UNAVAILABLE,0,1.72,15.96
bare.click,AVAILABLE,1,76.94,109.69
bare.garden,AVAILABLE,1,873.85,27.82
bare.hair,AVAILABLE,1,2183.84,2183.84
bare.monster,AVAILABLE,0,1.54,12.98
bare.rest,AVAILABLE,0,1.54,26.26
bare.skin,AVAILABLE,1,2183.84,2183.84
bare.surf,UNAVAILABLE,0,1.54,26.26
  💰 PREMIUM: mist.space reg=$273.44
  ✓ CHEAP: mist.pics reg=$1.54 renew=$26.26
  ✓ CHEAP: mist.beauty reg=$1.54 renew=$12.98
  💰 PREMIUM: mist.beer reg=$2183.84
  💰 PREMIUM: mist.click reg=$76.94
  ✓ CHEAP: mist.hair reg=$1.54 renew=$12.98
  ✓ CHEAP: mist.rest reg=$1.54 renew=$26.26
  ✓ CHEAP: mist.skin reg=$1.54 renew=$12.98
  ✓ CHEAP: mist.surf reg=$1.54 renew=$26.26
mist.lol,UNAVAILABLE,0,1.54,26.26
mist.space,AVAILABLE,1,273.44,1092.18
mist.pics,AVAILABLE,0,1.54,26.26
mist.quest,UNAVAILABLE,0,1.54,12.98
mist.mom,UNAVAILABLE,0,1.54,26.26
