domain,status,premium,reg_price,renew_price
bole.monster,AVAILABLE,0,1.54,12.98
bole.rest,AVAILABLE,0,1.54,26.26
bole.skin,AVAILABLE,0,1.54,12.98
bole.surf,AVAILABLE,0,1.54,26.26
boon.lol,AVAILABLE,1,2183.84,2183.84
boon.space,AVAILABLE,1,68.75,273.44
boon.pics,UNAVAILABLE,0,1.54,26.26
boon.quest,AVAILABLE,1,2183.84,2183.84
boon.mom,AVAILABLE,1,2183.84,2183.84
boon.beauty,AVAILABLE,1,2183.84,2183.84
boon.beer,UNAVAILABLE,0,1.54,26.26
boon.best,UNAVAILABLE,0,1.72,15.96
boon.click,AVAILABLE,1,76.94,109.69
boon.garden,AVAILABLE,0,1.54,26.26
boon.hair,AVAILABLE,1,2183.84,2183.84
boon.monster,AVAILABLE,0,1.54,12.98
boon.rest,UNAVAILABLE,0,1.54,26.26
boon.skin,AVAILABLE,1,2183.84,2183.84
boon.surf,AVAILABLE,0,1.54,26.26
borage.lol,AVAILABLE,0,1.54,26.26
borage.space,AVAILABLE,0,1.96,26.26
borage.pics,AVAILABLE,0,1.54,26.26
borage.quest,AVAILABLE,0,1.54,12.98
borage.mom,AVAILABLE,0,1.54,26.26
borage.beauty,AVAILABLE,0,1.54,12.98
borage.beer,AVAILABLE,0,1.54,26.26
borage.best,AVAILABLE,0,1.72,15.96
borage.click,AVAILABLE,0,1.54,10.81
borage.garden,AVAILABLE,0,1.54,26.26
borage.hair,AVAILABLE,0,1.54,12.98
borage.monster,AVAILABLE,0,1.54,12.98
borage.rest,AVAILABLE,0,1.54,26.26
borage.skin,AVAILABLE,0,1.54,12.98
borage.surf,AVAILABLE,0,1.54,26.26
botfly.lol,AVAILABLE,0,1.54,26.26
botfly.space,AVAILABLE,1,27.82,109.69
botfly.pics,AVAILABLE,0,1.54,26.26
botfly.quest,AVAILABLE,0,1.54,12.98
botfly.mom,AVAILABLE,0,1.54,26.26
botfly.beauty,AVAILABLE,0,1.54,12.98
botfly.beer,AVAILABLE,0,1.54,26.26
botfly.best,AVAILABLE,0,1.72,15.96
botfly.click,AVAILABLE,0,1.54,10.81
botfly.garden,AVAILABLE,0,1.54,26.26
